package,dependency,type
vapour,apt-get install -y libproj-dev,apt-get
bayesbr,apt-get install -y make,apt-get
sentometrics,apt-get install -y make,apt-get
cairoDevice,apt-get install -y libcairo2-dev,apt-get
bellreg,apt-get install -y make,apt-get
Cairo,apt-get install -y libcairo2-dev,apt-get
bigMap,apt-get install -y make,apt-get
YPBP,apt-get install -y make,apt-get
hsstan,apt-get install -y make,apt-get
officedown,apt-get install -y pandoc,apt-get
InSilicoVA,apt-get install -y default-jdk,apt-get
InSilicoVA,R CMD javareconf,R CMD
ROpenCVLite,apt-get install -y cmake,apt-get
apcf,apt-get install -y libgdal-dev,apt-get
apcf,apt-get install -y gdal-bin,apt-get
apcf,apt-get install -y libgeos-dev,apt-get
uavRmp,apt-get install -y make,apt-get
glmmTMB,apt-get install -y make,apt-get
unmarked,apt-get install -y make,apt-get
cairoDevice,apt-get install -y libcairo2-dev,apt-get
govdown,apt-get install -y pandoc,apt-get
cubature,apt-get install -y make,apt-get
HydeNet,apt-get install -y jags,apt-get
symengine,apt-get install -y cmake,apt-get
symengine,apt-get install -y libgmp3-dev,apt-get
symengine,apt-get install -y make,apt-get
symengine,apt-get install -y libmpfr-dev,apt-get
RcppCWB,apt-get install -y libglib2.0-dev,apt-get
RcppCWB,apt-get install -y make,apt-get
rJava,apt-get install -y make,apt-get
rJava,apt-get install -y default-jdk,apt-get
rJava,R CMD javareconf,R CMD
rstantools,apt-get install -y pandoc,apt-get
Cairo,apt-get install -y libcairo2-dev,apt-get
DNAtools,apt-get install -y make,apt-get
dialr,apt-get install -y default-jdk,apt-get
dialr,R CMD javareconf,R CMD
glmmfields,apt-get install -y make,apt-get
websocket,apt-get install -y make,apt-get
